NAME,ADDRESS,CITY,STATE,ZIP,TYPE,LATITUDE,LONGITUDE,WEBSITE,TTL_STAFF,BEDS,TRAUMA,HELIPAD,IP Address,No of Access Points connected,Patients,Suggestive_Factor,Recommended
PINCKNEYVILLE COMMUNITY HOSPITAL,5383 STATE ROUTE 154,PINCKNEYVILLE,IL,62274,CRITICAL ACCESS,38.084846,-89.3491079999999,http://www.pvillehosp.org/,121,17,0.39848091346844300,1,122.28.178.123,172,152,0.7437565578422550,No
ST JOSEPH'S HOSPITAL - SAVANNAH,11705 MERCY BOULEVARD,SAVANNAH,GA,31419,GENERAL ACUTE CARE,31.985430321,-81.154556369,NOT AVAILABLE,113,294,0.12967486040193900,1,198.5.219.54,94,74,3.5982559838897900,Yes
KINDRED HOSPITAL ROME,320 TURNER MCCALL BOULEVARD,ROME,GA,30165,LONG TERM CARE,34.259713445,-85.1802396319999,NOT AVAILABLE,71,45,0.13609171850066700,1,247.64.160.229,155,135,0.6557001802379880,No
UPSON REGIONAL MEDICAL CENTER,801 W GORDON STREET,THOMASTON,GA,30286,GENERAL ACUTE CARE,32.886297701,-84.3365069879999,NOT AVAILABLE,121,115,0.18692121347716700,1,209.30.61.208,89,69,2.0548132637434100,Yes
PHOEBE SUMTER MEDICAL CENTER,126 HIGHWAY 280 W,AMERICUS,GA,31719,GENERAL ACUTE CARE,32.0669623380001,-84.2560501999999,http://www.phoebeputney.com/phoebecontentpage.aspx?nd=1479,130,76,0.04425259913764510,1,123.51.91.146,110,90,1.132002842778700,Yes
ROOSEVELT WARM SPRINGS LTAC HOSPITAL,6135 ROOSEVELT HIGHWAY,WARM SPRINGS,GA,31830,LONG TERM CARE,32.887980741,-84.6923449,NOT AVAILABLE,116,32,0.7397276259558590,0,241.6.71.219,183,163,0.4397196600177130,No
SOUTHEASTERN REGIONAL MEDICAL CENTER,600 CELEBRATE LIFE PKWY,NEWNAN,GA,30265,GENERAL ACUTE CARE,33.3848346460001,-84.757746692,http://www.cancercenter.com/southeastern/,75,50,0.36976234422384300,1,173.74.205.142,31,11,16.180748940707000,Yes
DOCTORS CENTER HOSPITAL SANFERNANDO DE CAROLINA,"CALLE FERNANDEZ JUNCOS, EDIFICIO JESUS T. PINEIRO",CAROLINA,PR,984,GENERAL ACUTE CARE,18.3804430000001,-65.95579,https://www.tuhospitalfamiliar.com/,89,988,0.7200863538806470,0,106.218.153.156,47,27,60.67005689436150,Yes
BROWN CTY COMMUNITY TREATMENT CENTER,3150 GERSHWIN DRIVE,GREEN BAY,WI,54311,PSYCHIATRIC,44.522712261,-87.924827084,http://www.co.brown.wi.us/,90,16,0.06403739526153430,0,10.116.22.165,160,140,0.06875339150831820,No
WHEATON FRANCISCAN WI HEART SPINE AND ORTHO,10000 WEST BLUEMOUND ROAD,WAUWATOSA,WI,53226,GENERAL ACUTE CARE,43.0358121520001,-88.037265823,NOT AVAILABLE,124,40,0.10601479612437400,0,91.10.113.82,149,129,0.20203690350056200,No
HOSPITAL PSIQUIATRICO DE NINOS YADOLESCENTES,"AVE LAUREL 100, URB. SANTA JUANITA",BAYAMON,PR,956,PSYCHIATRIC,18.3676556610001,-66.154391259,NOT AVAILABLE,100,-999,0.5876568365306550,1,189.142.248.73,15,-5,-1997.2061715817300,No
COMPASS BEHAVIORAL CENTER OF ALEXANDRIA,6410 MASONIC DRIVE,ALEXANDRIA,LA,71301,GENERAL ACUTE CARE,31.252191558,-92.481987814,NOT AVAILABLE,68,18,0.2966664624899830,1,233.127.102.197,85,65,0.7931853022509090,No
OCSHNER ST. ANNE GENERAL HOSPITAL,4608 HIGHWAY 1,RACELAND,LA,70394,GENERAL ACUTE CARE,29.7026714240001,-90.565253898,https://www.ochsner.org/locations/ochsner-st-anne/,75,38,0.6280690860182150,1,248.228.128.161,141,121,0.9113639603986300,No
FELICIANA FORENSIC FACILITY,4502 HWY 951,JACKSON,LA,70748,GENERAL ACUTE CARE,30.832635688,-91.210660488,http://new.dhh.louisiana.gov/index.cfm/directory/detail/219,135,-999,0.6093818451254470,0,192.61.233.254,183,163,-2.233323304544060,No
UNITED MEDICAL HEALTHWEST-NEW ORLEANS,3201 WALL BOULEVARD,GRETNA,LA,70056,REHABILITATION,29.865979474,-90.03069185,http://umrhospital.com/locations/new-orleans/,126,14,0.46703277193628100,0,157.186.40.139,133,113,0.30258992344171000,No
RIPON MEDICAL CENTER,845 PARKSIDE ST,RIPON,WI,54971,CRITICAL ACCESS,43.8343760920001,-88.817751529,http://www.agnesian.com/locations/hospitals/ripon-medical-center,129,18,0.7890882185185720,1,80.159.92.52,197,177,0.9316024258349820,No
VA MEDICAL CENTER - PROVIDENCE,830 CHALKSTONE AVE,PROVIDENCE,RI,2908,GENERAL ACUTE CARE,41.8321390840001,-71.4331495449999,http://www.providence.va.gov/,57,-999,0.9500690044194810,0,23.60.58.35,17,-3,-3163.02496549779,No
TOMAH VA MEDICAL CENTER,500 E VETERANS ST,TOMAH,WI,54660,MILITARY,44.00308068,-90.493319014,http://www.tomah.va.gov/,74,-999,0.32835401193784100,1,75.172.58.101,160,140,-1.2216903409698600,No
ASCENSION GOOD SAMARITAN HLTH CTR,601 S CENTER AVE,MERRILL,WI,54452,GENERAL ACUTE CARE,45.1756325370001,-89.681831276,http://www.ministryhealth.org,132,25,0.40937076378529500,1,169.129.175.0,86,66,1.0834732606805300,Yes
RESTPADD PSYCHIATRIC HEALTH FACILITY,2750 EUREKA WAY,REDDING,CA,96001,PSYCHIATRIC,40.586595392,-122.411974107,http://www.restpadd.com/,132,16,0.9175582490849150,0,114.131.24.76,15,-5,42.69877912454250,Yes
THE CHAMPION CENTER,303 SOUTH C STREET,LOMPOC,CA,93436,REHABILITATION,34.6353716090001,-120.452188325,https://championrecovery.com/,58,34,0.009840797979402290,1,53.39.223.208,78,58,0.7980238472655630,No
STEWART WEBSTER HOSPITAL,580 ALSTON STREET,RICHLAND,GA,31825,CRITICAL ACCESS,32.08616827,-84.660699774,http://www.stewartcountyga.gov/stewartwebsterhospital.htm,47,25,0.1408466749174470,0,87.160.75.133,38,18,1.8836949423970000,Yes
KAISER FND HOSP ONTARIO MEDICAL CENTER CAMPUS,2295 S. VINEYARD AVENUE,ONTARIO,CA,91761,GENERAL ACUTE CARE,34.0320795600001,-117.60859933,http://www.kaiserpermanente.org,146,176,0.5967669978096890,1,245.117.85.128,129,109,1.8797739542537200,Yes
LOMA LINDA UNIV. MED. CENTER EAST CAMPUS HOSPITAL,25333 BARTON ROAD,LOMA LINDA,CA,92354,GENERAL ACUTE CARE,34.047305635,-117.251636776,http://www.llumc.edu,137,134,0.5769266415746760,1,34.66.226.164,102,82,2.153573374326900,Yes
ST. BERNARDINE MEDICAL CENTER,2101 NORTH WATERMAN AVENUE,SAN BERNARDINO,CA,92404,GENERAL ACUTE CARE,34.1346723570001,-117.277019975,http://www.stbernardinemedicalcenter.com,102,342,0.06611304370501870,0,237.39.155.54,27,7,355.99224019532200,Yes
KAISER FND HOSP - SAN DIEGO,4647 ZION AVENUE,SAN DIEGO,CA,92120,GENERAL ACUTE CARE,32.7915625750001,-117.095159549,http://www.kaiserpermanente.org,68,414,0.6078205716976210,0,199.118.83.0,51,31,14.951152741624000,Yes
SCRIPPS GREEN HOSPITAL,10666 NORTH TORREY PINES ROAD,LA JOLLA,CA,92037,GENERAL ACUTE CARE,32.896858901,-117.24287107,http://www.scrippshealth.org,95,173,0.0797876951256663,0,10.255.15.217,28,8,128.43833134756300,Yes
SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,354 SANTA FE DRIVE,ENCINITAS,CA,92024,GENERAL ACUTE CARE,33.0373447760001,-117.284183383,http://www.scripps.org,137,194,0.8636467116513280,0,121.247.81.132,72,52,5.346394361742820,Yes
SHARP MARY BIRCH HOSPITAL FOR WOMEN AND NEWBORNS,3003 HEALTH CENTER DRIVE,SAN DIEGO,CA,92123,WOMEN,32.7982957780001,-117.154977819,http://www.sharp.com,94,206,0.5098794853748510,1,10.74.36.156,159,139,1.2560525215291,Yes
UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER,200 WEST ARBOR DRIVE,SAN DIEGO,CA,92103,GENERAL ACUTE CARE,32.754770233,-117.165731384,https://health.ucsd.edu/locations/pages/hillcrest.aspx,73,390,0.5433685430039320,0,6.131.150.155,125,105,1.5628407340870000,Yes
CALIFORNIA PACIFIC MED CTR-CALIFORNIA WEST,3700 CALIFORNIA STREET,SAN FRANCISCO,CA,94118,GENERAL ACUTE CARE,37.786509197,-122.456030633,http://www.cpmc.org,148,299,0.2928997608788710,1,80.221.63.19,103,83,3.858236787102230,Yes
CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,2333 BUCHANAN STREET,SAN FRANCISCO,CA,94115,GENERAL ACUTE CARE,37.7907045380001,-122.431294533,http://www.cpmc.org,66,309,0.8241814461968550,0,104.134.66.139,198,178,0.7339250874463630,No
"ST. MARY'S MEDICAL CENTER, SAN FRANCISCO",450 STANYAN STREET,SAN FRANCISCO,CA,94117,GENERAL ACUTE CARE,37.77408876,-122.453751642,http://www.stmarysmedicalcenter.org,123,403,0.12786434030860300,1,163.237.55.174,161,141,1.8105746931662200,Yes
KAISER FND HOSP - SANTA ROSA,401 BICENTENNIAL WAY,SANTA ROSA,CA,95403,GENERAL ACUTE CARE,38.471793006,-122.72706436,http://www.kaiserpermanente.org,150,173,0.4018319079633420,1,144.247.124.33,106,86,2.455242617042790,Yes
KAISER FND HOSP - REHABILITATION CENTER VALLEJO,975 SERENO DRIVE,VALLEJO,CA,94590,GENERAL ACUTE CARE,38.12690208,-122.248377304,http://www.kaiserpermanente.org,82,248,0.628347161673493,1,210.130.220.248,88,68,3.0131355185530100,Yes
WOODLAND MEMORIAL HOSPITAL,1325 COTTONWOOD STREET,WOODLAND,CA,95695,GENERAL ACUTE CARE,38.663925024,-121.792145249,http://www.woodlandhealthcare.org,68,108,0.6804108579401610,0,151.138.14.31,112,92,0.7740428580816120,No
ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-SUMMIT,3100 SUMMIT STREET,OAKLAND,CA,94609,GENERAL ACUTE CARE,37.8201396110001,-122.26400415,http://www.altabatessummit.com,102,75,0.7900646911652320,0,188.184.209.236,15,-5,153.39503234558300,Yes
SAN LEANDRO HOSPITAL,13855 EAST 14TH STREET,SAN LEANDRO,CA,94578,GENERAL ACUTE CARE,37.712288347,-122.143493689,http://edenmedcenter.org,141,93,0.872564304881044,0,160.109.134.227,22,2,1639.5612821524400,Yes
ST. ROSE HOSPITAL,27200 CALAROGA AVENUE,HAYWARD,CA,94545,GENERAL ACUTE CARE,37.6334419930001,-122.087912534,http://www.srhca.org,49,217,0.8512998309258530,1,72.22.93.155,91,71,1.9803017702536400,Yes
ST. JOSEPH'S BEHAVIORAL HEALTH CENTER,2510 NORTH CALIFORNIA STREET,STOCKTON,CA,95204,PSYCHIATRIC,37.9765963,-121.291070926,http://www.stjosephscanhelp.org,88,35,0.7751345460238900,0,230.20.59.96,139,119,0.4963166551177290,No
ST. JOSEPH'S MEDICAL CENTER OF STOCKTON,1800 NORTH CALIFORNIA STREET,STOCKTON,CA,95204,GENERAL ACUTE CARE,37.970467188,-121.288182762,http://www.stjosephscares.org,94,364,0.5313360740446450,0,102.205.250.205,111,91,2.3316021029563900,Yes
FOOTHILL PRESBYTERIAN HOSPITAL-JOHNSTON MEMORIAL,250 SOUTH GRAND AVENUE,GLENDORA,CA,91741,GENERAL ACUTE CARE,34.132654576,-117.871259716,http://www.cvhp.org/our_facilities/foothill_presbyterian.aspx,77,105,0.30178800201228200,0,79.180.45.35,125,105,0.5175606676728080,No
GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER,1420 SOUTH CENTRAL AVENUE,GLENDALE,CA,91204,GENERAL ACUTE CARE,34.128165628,-118.256643169,http://www.glendalememorial.com,80,334,0.7046401198979620,0,86.173.142.73,113,93,1.897007307029570,Yes
KAISER FOUNDATION LOS ANGELES MEDICAL CENTER,4867 SUNSET BOULEVARD,LOS ANGELES,CA,90027,GENERAL ACUTE CARE,34.0985736490001,-118.294175331,http://www.kaiserpermanente.org,115,460,0.8234226391998750,0,191.133.66.40,185,165,1.383244836588,Yes
KAISER PERMANENTE PANORAMA CITY,13652 CANTARA STREET,PANORAMA CITY,CA,91402,GENERAL ACUTE CARE,34.2185641940001,-118.430219294,http://www.kaiserpermanente.org,129,218,0.7032273360690920,0,170.245.40.204,170,150,0.9765470013678790,No
PROVIDENCE TARZANA MEDICAL CENTER,18321 CLARK STREET,TARZANA,CA,91356,GENERAL ACUTE CARE,34.170393216,-118.531904059,http://california.providence.org/,116,249,0.41207645297713400,0,165.10.184.5,37,17,50.178356565588900,Yes
SHRINERS HOSPITAL FOR CHILDREN - L.A.,3160 GENEVA STREET,LOS ANGELES,CA,90020,GENERAL ACUTE CARE,34.067204777,-118.286392079,http://www.shrinershospitalsforchildren.org/hospitals/locations/losa ngeles.aspx,90,60,0.9647414823634490,0,188.253.151.143,38,18,8.81570407451506,Yes
GARDENS REGIONAL HOSPITAL AND MEDICAL CENTER,21530 SOUTH PIONEER BOULEVARD,HAWAIIAN GARDENS,CA,90716,GENERAL ACUTE CARE,33.833640007,-118.079677951,http://www.tcrmc.org/,150,107,0.8133467537692930,1,133.11.229.188,106,86,1.9917193476796700,Yes
ADVENTIST HEALTH CLEARLAKE,15630 18TH AVE - HWY 53,CLEARLAKE,CA,95422,GENERAL ACUTE CARE,38.935618855,-122.620144532,http://www.adventisthealth.org,101,32,0.41103432676412600,0,33.252.40.11,85,65,0.5880023704826550,No
VALLEY CHILDREN'S HOSPITAL,9300 VALLEY CHILDREN'S PLACE,MADERA,CA,93638,CHILDREN,36.8840478340001,-119.800242412,http://www.valleychildrens.org/pages/default.aspx,98,356,0.8150872680662530,1,223.77.160.32,36,16,69.04816863403310,Yes
EISENHOWER MEDICAL CENTER,39-000 BOB HOPE DRIVE,RANCHO MIRAGE,CA,92270,GENERAL ACUTE CARE,33.7633520680001,-116.406241091,http://www.emc.org,149,489,0.46147664655819700,1,167.3.31.162,138,118,3.34712011012196,Yes
GOOD SAMARITAN HOSPITAL-SAN JOSE,2425 SAMARITAN DRIVE,SAN JOSE,CA,95124,GENERAL ACUTE CARE,37.252078736,-121.946576875,http://www.goodsamsanjose.com,107,404,0.30749061127576200,1,90.137.176.69,126,106,2.5773836110846600,Yes
KAISER FND HOSP - SANTA CLARA,700 LAWRENCE EXPRESSWAY,SANTA CLARA,CA,95051,GENERAL ACUTE CARE,37.3354013750001,-121.998873047,http://www.kaiserpermanente.org,79,327,0.9398010370824650,0,87.170.150.157,136,116,1.4298068800156700,Yes
LUCILE SALTER PACKARD CHILDREN'S HOSP. AT STANFORD,725 WELCH ROAD,PALO ALTO,CA,94304,GENERAL ACUTE CARE,37.436004575,-122.175390036,http://www.lpch.org,95,302,0.08791547845702910,1,246.65.39.175,60,40,9.509582739228510,Yes
KAISER FND HOSP - REDWOOD CITY,1100 VETERANS BOULEVARD,REDWOOD CITY,CA,94063,GENERAL ACUTE CARE,37.488847836,-122.223390131,http://www.kaiserpermanente.org,122,149,0.6729273321693750,1,170.2.236.112,48,28,12.429575910982600,Yes
JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,2540 EAST STREET,CONCORD,CA,94520,GENERAL ACUTE CARE,37.9830895790001,-122.033496796,http://www.johnmuirhealth.com,143,245,0.6852235668838740,0,246.203.120.255,36,16,68.77034615844190,Yes
SUTTER DELTA MEDICAL CENTER,3901 LONE TREE WAY,ANTIOCH,CA,94509,GENERAL ACUTE CARE,37.9822344500001,-121.802978505,http://www.sutterdelta.org,148,145,0.9482669117103670,1,226.79.95.164,20,0,inf,Yes
KAISER FND HOSP - SACRAMENTO,2025 MORSE AVENUE,SACRAMENTO,CA,95825,GENERAL ACUTE CARE,38.601797751,-121.393144026,http://www.kaiserpermanente.org,102,287,0.4627802976184240,1,152.43.186.205,10,-10,147.1013901488090,Yes
SIERRA NEVADA MEMORIAL HOSPITAL,155 GLASSON WAY,GRASS VALLEY,CA,95945,GENERAL ACUTE CARE,39.228016294,-121.047499779,http://www.snmh.org,134,104,0.04890344644335490,0,125.57.229.118,144,124,0.477625500536974,No
LA PALMA INTERCOMMUNITY HOSPITAL,7901 WALKER STREET,LA PALMA,CA,90623,GENERAL ACUTE CARE,33.8475141810001,-118.038302332,http://www.lapalmaintercommunityhospital.com,147,141,0.09119406248891740,1,181.158.172.115,147,127,1.1881353163210300,Yes
SADDLEBACK MEMORIAL MEDICAL CENTER - SAN CLEMENTE,654 CAMINO DE LOS MARES,SAN CLEMENTE,CA,92673,GENERAL ACUTE CARE,33.457065243,-117.650183918,http://www.memorialcare.org,51,73,0.10016491543294700,1,118.46.204.67,198,178,0.6088345092251210,No
FREMONT MEDICAL CENTER,970 PLUMAS STREET,YUBA CITY,CA,95991,GENERAL ACUTE CARE,39.143106319,-121.618012022,http://www.frhg.org/,84,46,0.6810538925948380,0,154.220.73.84,70,50,1.113326946297420,Yes
PIEDMONT MOUNTAINSIDE HOSPITAL,1266 EAST CHURCH STREET,JASPER,GA,30143,GENERAL ACUTE CARE,34.4582486800001,-84.412912891,http://www.piedmontmountainsidehospital.org,135,52,0.9854674136828730,0,211.54.152.1,40,20,9.267733706841440,Yes
ST MARYS HEALTH CARE SYSTEM,1230 BAXTER STREET,ATHENS,GA,30606,GENERAL ACUTE CARE,33.9472213170001,-83.4052524589999,http://www.stmarysathens.com,136,196,0.7484011087835970,1,210.141.160.101,187,167,1.352095064772240,Yes
RIDGEVIEW INSTITUTE,3995 SOUTH COBB DRIVE SE,SMYRNA,GA,30080,PSYCHIATRIC,33.8564432910001,-84.51105483,http://www.ridgeviewinstitute.com,56,216,0.6059545149807900,0,218.148.141.221,127,107,0.8312330003500330,No
WESTERLY HOSPITAL,25 WELLS ST,WESTERLY,RI,2891,GENERAL ACUTE CARE,41.3621890750001,-71.825303241,http://www.westerlyhospital.org/,81,125,0.09761923171576200,1,211.43.8.55,117,97,1.0868582926566900,Yes
ST MARYS HOSPITAL MADISON,700 SOUTH PARK ST,MADISON,WI,53715,GENERAL ACUTE CARE,43.0593384640001,-89.401429215,http://www.stmarysmadison.com,106,440,0.6443068569499760,1,168.36.238.249,15,-5,933.6221534284750,Yes
AURORA PSYCHIATRIC HSPTL,1220 DEWEY AVE,WAUWATOSA,WI,53213,PSYCHIATRIC,43.046765098,-88.007716433,http://www.aurorahealthcare.org,92,105,0.9999200925971250,0,248.15.57.192,161,141,0.7429055721775420,No
COLUMBIA CENTER,13125 N PORT WASHINGTON RD,MEQUON,WI,53097,GENERAL ACUTE CARE,43.256677929,-87.926157962,http://www.columbiacenter.org,132,17,0.07061137833515850,1,178.212.84.184,155,135,0.5968694751758100,No
THEDACARE MEDICAL CENTER BERLIN,225 MEMORIAL DRIVE,BERLIN,WI,54923,GENERAL ACUTE CARE,43.9784771540001,-88.94122636,http://www.chnwi.org,98,25,0.23242310091029600,1,81.59.211.151,135,115,0.7088391496990040,No
MERCY HOSPITAL ROGERS,2710 RIFE MEDICAL LANE,ROGERS,AR,72758,GENERAL ACUTE CARE,36.3089928530001,-94.18297802,NOT AVAILABLE,117,208,0.08864306771589790,0,237.206.211.144,93,73,2.3276767599791700,Yes
