NAME,ADDRESS,CITY,STATE,ZIP,TYPE,COUNTRY,LATITUDE,LONGITUDE,WEBSITE,TTL_STAFF,BEDS,TRAUMA,HELIPAD,IP Address,No of Access Points connected,Patients,Suggestive_Factor,Recommended
SALINAS VALLEY MEMORIAL HOSPITAL,450 EAST ROMIE LANE,SALINAS,CA,93901,GENERAL ACUTE CARE,USA,36.659030456,-121.645983804,http://www.svmh.com,77,269,0.7852082288496540,0,92.198.109.194,87,52.200000000000000,4.193377737830240,Yes
CORPUS CHRISTI SPECIALTY HOSPITAL,1310 THIRD STREET,CORPUS CHRISTI,TX,78414,GENERAL ACUTE CARE,USA,27.778510168,-97.396208313,NOT AVAILABLE,123,189,0.9409044677471370,1,105.16.183.189,127,76.20000000000000,2.9722812375315800,Yes
HEALTHBRIDGE CHILDREN'S HOSPITAL-ORANGE,393 S. TUSTIN STREET,ORANGE,CA,92866,CHILDREN,USA,33.7827271730001,-117.833891865,http://www.healthbridgeorange.com,64,27,0.41200630840847900,1,99.146.82.104,111,66.6,0.9007925381828130,No
HEALTHSOUTH TUSTIN REHABILITATION HOSPITAL,14851 YORBA STREET,TUSTIN,CA,92680,GENERAL ACUTE CARE,USA,33.7474607400001,-117.831055631,http://www.tustinrehab.com,73,48,0.09401045572683340,1,41.153.182.123,159,95.4,0.7395081615553860,No
KINDRED HOSPITAL BREA,875 NORTH BREA BOULEVARD,BREA,CA,92621,GENERAL ACUTE CARE,USA,33.934495886,-117.893948792,http://www.kindredhospitalbrea.com/,113,86,0.9600501115841100,1,98.59.56.252,98,58.8,2.385400130992200,Yes
KINDRED HOSPITAL WESTMINSTER,200 HOSPITAL CIRCLE,WESTMINSTER,CA,92683,GENERAL ACUTE CARE,USA,33.7635332090001,-117.995255963,http://www.khwestminster.com/,45,109,0.7770845776776820,1,100.12.126.165,113,67.8,1.4220609668872400,Yes
KAWEAH DELTA MENTAL HEALTH HOSPITAL D/P APH,1100 SO. AKERS STREET,VISALIA,CA,93277,GENERAL ACUTE CARE,USA,36.320843946,-119.348234528,http://www.kaweahdelta.org,46,63,0.5215722145802210,0,123.220.187.192,22,13.2,8.576901809769450,Yes
CHARLTON MEMORIAL HOSPITAL,2449 THIRD STREET,FOLKSTON,GA,31537,GENERAL ACUTE CARE,USA,30.845275348,-82.005057392,http://www.southcoast.org/charlton/,123,-999,0.9481081426117520,1,170.51.39.121,143,85.8,0.0,No
DAUTERIVE HOSPITAL,600 N LEWIS AVE.,NEW IBERIA,LA,70563,GENERAL ACUTE CARE,USA,30.006906977,-91.794523853,http://www.dauterivehospital.com,138,103,0.04848501337908820,0,228.200.102.199,200,120.0,0.5177841733562110,No
CROCKETT MEDICAL CENTER,1100 EAST LOOP 304,CROCKETT,TX,77954,GENERAL ACUTE CARE,USA,31.32360364,-95.4388993059999,http://crockettmedicalcenter.com/,50,25,0.364459532955859,1,12.1.92.172,98,58.8,0.8629993532241930,No
CENTRAL LOUISIANA STATE HOSPITAL,242 W SHAMROCK AVE,PINEVILLE,LA,71360,PSYCHIATRIC,USA,31.3273789420001,-92.4401351129999,http://www.dhh.la.gov/omh/inpatient-serv/clsh.htm,101,128,0.6689986087329170,0,16.76.211.226,111,66.6,1.7918124733913400,Yes
REEVES MEMORIAL MEDICAL CENTER,409 1ST ST,BERNICE,LA,71222,GENERAL ACUTE CARE,USA,32.8239916700001,-92.656648681,http://reevesmemorial.com/,84,11,0.7654193915590720,0,7.209.157.26,45,27.0,1.0164545517466100,Yes
SERENITY SPRINGS SPECIALTY HOSPITAL,309 N MAIN ST,FARMERVILLE,LA,71241,PSYCHIATRIC,USA,32.776127934,-92.4056258479999,http://www.serenityhospital.com,61,18,0.5661941922283960,1,205.33.8.183,187,112.2,0.826707150734004,No
RIVERBRIDGE SPECIALTY HOSPITAL,209 FRONT ST.,VIDALIA,LA,71373,LONG TERM CARE,USA,31.5611748630001,-91.4260669829999,http://www.promise-misslou.com,85,40,0.2507888552907020,1,78.50.40.215,42,25.2,3.302391152261120,Yes
CITIZENS MEDICAL CENTER,7939 HIGHWAY 165,COLUMBIA,LA,71418,GENERAL ACUTE CARE,USA,32.0600399510001,-92.099137669,NOT AVAILABLE,103,40,0.9411881529712300,1,28.188.222.29,174,104.40000000000000,1.1595959995343100,Yes
BROWN MEMORIAL CONVALESCENT CENTER,545 COOK STREET,ROYSTON,GA,30662,LONG TERM CARE,USA,34.2832503650001,-83.118972365,http://tycobbhealthcare.com/programsservices/longtermcare/brownmemorialconvalescentcenter.aspx,54,144,0.04953029708042260,1,228.190.53.76,23,13.800000000000000,10.0,Yes
COLLEGE MEDICAL CENTER,2776 PACIFIC AVENUE,LONG BEACH,CA,90806,GENERAL ACUTE CARE,USA,33.8070928700001,-118.193389929,http://www.collegemedicalcenter.com,147,121,0.5206903234354670,0,210.83.90.240,78,46.8,4.320859078000880,Yes
KAISER FOUNDATION HOSPITAL - SAN LEANDRO,2500 MERCED STREET,SAN LEANDRO,CA,94577,GENERAL ACUTE CARE,USA,37.706406198,-122.164654518,http://www.kaiserpermanente.org,53,216,0.46806619156050300,1,216.246.248.74,149,89.4,1.4502170514579200,Yes
KINDRED HOSPITAL PARAMOUNT,16453 SOUTH COLORADO AVENUE,PARAMOUNT,CA,90723,LONG TERM CARE,USA,33.8846318610001,-118.162267066,http://www.promiseeastla.com/,137,177,0.8047615381362610,1,51.77.224.254,163,97.8,2.1699921457351700,Yes
DEPARTMENT OF STATE HOSPITAL-METROPOLITAN,11401 BLOOMFIELD AVENUE,NORWALK,CA,90650,PSYCHIATRIC,USA,33.928031349,-118.067989672,http://www.dsh.ca.gov/metropolitan/default.asp,72,1265,0.5667689505749370,0,52.1.131.63,147,88.20000000000000,6.137426772478460,Yes
PINCKNEYVILLE COMMUNITY HOSPITAL,5383 STATE ROUTE 154,PINCKNEYVILLE,IL,62274,CRITICAL ACCESS,USA,38.084846,-89.3491079999999,http://www.pvillehosp.org/,136,17,0.021329939910110900,0,32.138.91.167,108,64.8,0.2859659911408500,No
ST JOSEPH'S HOSPITAL - SAVANNAH,11705 MERCY BOULEVARD,SAVANNAH,GA,31419,GENERAL ACUTE CARE,USA,31.985430321,-81.154556369,NOT AVAILABLE,137,294,0.6757032319664480,0,216.230.35.101,185,111.0,1.9723780342934300,Yes
KINDRED HOSPITAL ROME,320 TURNER MCCALL BOULEVARD,ROME,GA,30165,LONG TERM CARE,USA,34.259713445,-85.1802396319999,NOT AVAILABLE,53,45,0.4732478921935680,0,88.54.125.49,114,68.4,0.49151006490257000,No
UPSON REGIONAL MEDICAL CENTER,801 W GORDON STREET,THOMASTON,GA,30286,GENERAL ACUTE CARE,USA,32.886297701,-84.3365069879999,NOT AVAILABLE,40,115,0.26395844329379900,0,30.6.124.12,116,69.6,0.6067777419269900,No
PHOEBE SUMTER MEDICAL CENTER,126 HIGHWAY 280 W,AMERICUS,GA,31719,GENERAL ACUTE CARE,USA,32.0669623380001,-84.2560501999999,http://www.phoebeputney.com/phoebecontentpage.aspx?nd=1479,118,76,0.01395063769910350,0,146.132.151.118,14,8.400000000000000,10.0,Yes
ROOSEVELT WARM SPRINGS LTAC HOSPITAL,6135 ROOSEVELT HIGHWAY,WARM SPRINGS,GA,31830,LONG TERM CARE,USA,32.887980741,-84.6923449,NOT AVAILABLE,83,32,0.7440869067639000,0,233.224.149.4,113,67.8,0.6609375632487280,No
SOUTHEASTERN REGIONAL MEDICAL CENTER,600 CELEBRATE LIFE PKWY,NEWNAN,GA,30265,GENERAL ACUTE CARE,USA,33.3848346460001,-84.757746692,http://www.cancercenter.com/southeastern/,48,50,0.6264805593062830,0,130.150.180.219,161,96.6,0.4418361414383090,No
DOCTORS CENTER HOSPITAL SANFERNANDO DE CAROLINA,"CALLE FERNANDEZ JUNCOS, EDIFICIO JESUS T. PINEIRO",CAROLINA,PR,984,GENERAL ACUTE CARE,PRI,18.3804430000001,-65.95579,https://www.tuhospitalfamiliar.com/,96,988,0.6842466519587680,1,49.187.45.78,147,88.20000000000000,6.938348664187230,Yes
BROWN CTY COMMUNITY TREATMENT CENTER,3150 GERSHWIN DRIVE,GREEN BAY,WI,54311,PSYCHIATRIC,USA,44.522712261,-87.924827084,http://www.co.brown.wi.us/,149,16,0.8531270790803900,0,100.155.173.195,27,16.2,4.968554089761200,Yes
WHEATON FRANCISCAN WI HEART SPINE AND ORTHO,10000 WEST BLUEMOUND ROAD,WAUWATOSA,WI,53226,GENERAL ACUTE CARE,USA,43.0358121520001,-88.037265823,NOT AVAILABLE,143,40,0.7261433869547380,0,107.25.216.205,26,15.6,10.0,Yes
HOSPITAL PSIQUIATRICO DE NINOS YADOLESCENTES,"AVE LAUREL 100, URB. SANTA JUANITA",BAYAMON,PR,956,PSYCHIATRIC,PRI,18.3676556610001,-66.154391259,NOT AVAILABLE,45,-999,0.6673639607673900,0,179.231.210.246,182,109.2,0.0,No
COMPASS BEHAVIORAL CENTER OF ALEXANDRIA,6410 MASONIC DRIVE,ALEXANDRIA,LA,71301,GENERAL ACUTE CARE,USA,31.252191558,-92.481987814,NOT AVAILABLE,93,18,0.34956546286632600,1,30.159.142.34,113,67.8,0.8568643353175710,No
OCSHNER ST. ANNE GENERAL HOSPITAL,4608 HIGHWAY 1,RACELAND,LA,70394,GENERAL ACUTE CARE,USA,29.7026714240001,-90.565253898,https://www.ochsner.org/locations/ochsner-st-anne/,68,38,0.16101537211142000,1,12.151.202.107,143,85.8,0.756012057364277,No
FELICIANA FORENSIC FACILITY,4502 HWY 951,JACKSON,LA,70748,GENERAL ACUTE CARE,USA,30.832635688,-91.210660488,http://new.dhh.louisiana.gov/index.cfm/directory/detail/219,62,-999,0.48280850258482400,0,106.135.232.152,33,19.800000000000000,0.0,No
UNITED MEDICAL HEALTHWEST-NEW ORLEANS,3201 WALL BOULEVARD,GRETNA,LA,70056,REHABILITATION,USA,29.865979474,-90.03069185,http://umrhospital.com/locations/new-orleans/,112,14,0.4913268823368260,1,182.245.165.167,188,112.8,0.807280060050763,No
RIPON MEDICAL CENTER,845 PARKSIDE ST,RIPON,WI,54971,CRITICAL ACCESS,USA,43.8343760920001,-88.817751529,http://www.agnesian.com/locations/hospitals/ripon-medical-center,44,18,0.45490868827198500,0,249.39.248.218,66,39.600000000000000,0.4799795966612450,No
VA MEDICAL CENTER - PROVIDENCE,830 CHALKSTONE AVE,PROVIDENCE,RI,2908,GENERAL ACUTE CARE,USA,41.8321390840001,-71.4331495449999,http://www.providence.va.gov/,47,-999,0.8056696643904670,1,47.243.14.246,103,61.8,0.0,No
TOMAH VA MEDICAL CENTER,500 E VETERANS ST,TOMAH,WI,54660,MILITARY,USA,44.00308068,-90.493319014,http://www.tomah.va.gov/,78,-999,0.003196382153829450,0,83.242.220.160,78,46.8,0.0,No
ASCENSION GOOD SAMARITAN HLTH CTR,601 S CENTER AVE,MERRILL,WI,54452,GENERAL ACUTE CARE,USA,45.1756325370001,-89.681831276,http://www.ministryhealth.org,71,25,0.7216149898006250,1,228.202.181.146,184,110.40000000000000,0.9336240644235220,No
RESTPADD PSYCHIATRIC HEALTH FACILITY,2750 EUREKA WAY,REDDING,CA,96001,PSYCHIATRIC,USA,40.586595392,-122.411974107,http://www.restpadd.com/,68,16,0.46336954488720400,1,80.2.240.138,121,72.6,0.8348956945876570,No
THE CHAMPION CENTER,303 SOUTH C STREET,LOMPOC,CA,93436,REHABILITATION,USA,34.6353716090001,-120.452188325,https://championrecovery.com/,129,34,0.8173771734201530,1,56.133.254.219,97,58.200000000000000,1.5561183525371200,Yes
STEWART WEBSTER HOSPITAL,580 ALSTON STREET,RICHLAND,GA,31825,CRITICAL ACCESS,USA,32.08616827,-84.660699774,http://www.stewartcountyga.gov/stewartwebsterhospital.htm,76,25,0.6289133057078570,1,45.103.67.151,55,33.0,1.686816616122980,Yes
KAISER FND HOSP ONTARIO MEDICAL CENTER CAMPUS,2295 S. VINEYARD AVENUE,ONTARIO,CA,91761,GENERAL ACUTE CARE,USA,34.0320795600001,-117.60859933,http://www.kaiserpermanente.org,44,176,0.24219578240035100,0,138.27.210.209,33,19.800000000000000,9.99764110107672,Yes
LOMA LINDA UNIV. MED. CENTER EAST CAMPUS HOSPITAL,25333 BARTON ROAD,LOMA LINDA,CA,92354,GENERAL ACUTE CARE,USA,34.047305635,-117.251636776,http://www.llumc.edu,44,134,0.049789570555664600,1,189.143.121.188,44,26.4,4.754692765075810,Yes
ST. BERNARDINE MEDICAL CENTER,2101 NORTH WATERMAN AVENUE,SAN BERNARDINO,CA,92404,GENERAL ACUTE CARE,USA,34.1346723570001,-117.277019975,http://www.stbernardinemedicalcenter.com,121,342,0.4042456418823740,0,202.100.32.88,30,18.0,10.0,Yes
KAISER FND HOSP - SAN DIEGO,4647 ZION AVENUE,SAN DIEGO,CA,92120,GENERAL ACUTE CARE,USA,32.7915625750001,-117.095159549,http://www.kaiserpermanente.org,41,414,0.054766920615643100,0,206.52.95.212,101,60.600000000000000,2.338431396784640,Yes
SCRIPPS GREEN HOSPITAL,10666 NORTH TORREY PINES ROAD,LA JOLLA,CA,92037,GENERAL ACUTE CARE,USA,32.896858901,-117.24287107,http://www.scrippshealth.org,78,173,0.20345866167333800,0,4.184.40.192,141,84.6,1.0444216836693600,Yes
SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,354 SANTA FE DRIVE,ENCINITAS,CA,92024,GENERAL ACUTE CARE,USA,33.0373447760001,-117.284183383,http://www.scripps.org,137,194,0.03631057034820820,0,194.21.159.240,72,43.2,7.138890024543100,Yes
SHARP MARY BIRCH HOSPITAL FOR WOMEN AND NEWBORNS,3003 HEALTH CENTER DRIVE,SAN DIEGO,CA,92123,WOMEN,USA,32.7982957780001,-117.154977819,http://www.sharp.com,78,206,0.838572808175299,0,232.31.6.10,179,107.40000000000000,1.1157898423906600,Yes
UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER,200 WEST ARBOR DRIVE,SAN DIEGO,CA,92103,GENERAL ACUTE CARE,USA,32.754770233,-117.165731384,https://health.ucsd.edu/locations/pages/hillcrest.aspx,68,390,0.9743797960295810,0,40.156.246.249,107,64.20000000000000,3.7043558804877900,Yes
CALIFORNIA PACIFIC MED CTR-CALIFORNIA WEST,3700 CALIFORNIA STREET,SAN FRANCISCO,CA,94118,GENERAL ACUTE CARE,USA,37.786509197,-122.456030633,http://www.cpmc.org,120,299,0.17864625976132400,1,126.37.174.42,20,12.0,10.0,Yes
CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,2333 BUCHANAN STREET,SAN FRANCISCO,CA,94115,GENERAL ACUTE CARE,USA,37.7907045380001,-122.431294533,http://www.cpmc.org,105,309,0.9769485355471530,1,69.14.187.144,85,51.0,7.225498489226860,Yes
"ST. MARY'S MEDICAL CENTER, SAN FRANCISCO",450 STANYAN STREET,SAN FRANCISCO,CA,94117,GENERAL ACUTE CARE,USA,37.77408876,-122.453751642,http://www.stmarysmedicalcenter.org,148,403,0.6637933357478350,1,58.240.94.221,173,103.8,3.5997435350892900,Yes
KAISER FND HOSP - SANTA ROSA,401 BICENTENNIAL WAY,SANTA ROSA,CA,95403,GENERAL ACUTE CARE,USA,38.471793006,-122.72706436,http://www.kaiserpermanente.org,118,173,0.24436912935215600,0,131.85.0.82,152,91.20000000000000,1.3493650432848800,Yes
KAISER FND HOSP - REHABILITATION CENTER VALLEJO,975 SERENO DRIVE,VALLEJO,CA,94590,GENERAL ACUTE CARE,USA,38.12690208,-122.248377304,http://www.kaiserpermanente.org,50,248,0.7141197862429420,0,47.250.155.130,33,19.800000000000000,10.0,Yes
WOODLAND MEMORIAL HOSPITAL,1325 COTTONWOOD STREET,WOODLAND,CA,95695,GENERAL ACUTE CARE,USA,38.663925024,-121.792145249,http://www.woodlandhealthcare.org,77,108,0.015283232252016800,1,47.102.8.54,35,21.0,9.936213044697440,Yes
ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-SUMMIT,3100 SUMMIT STREET,OAKLAND,CA,94609,GENERAL ACUTE CARE,USA,37.8201396110001,-122.26400415,http://www.altabatessummit.com,40,75,0.5180295670395740,1,157.85.31.248,169,101.40000000000000,0.9049013654555270,No
SAN LEANDRO HOSPITAL,13855 EAST 14TH STREET,SAN LEANDRO,CA,94578,GENERAL ACUTE CARE,USA,37.712288347,-122.143493689,http://edenmedcenter.org,70,93,0.7072128964745460,0,74.210.227.170,69,41.4,2.252717279295170,Yes
ST. ROSE HOSPITAL,27200 CALAROGA AVENUE,HAYWARD,CA,94545,GENERAL ACUTE CARE,USA,37.6334419930001,-122.087912534,http://www.srhca.org,45,217,0.12841147190870700,0,57.163.92.124,192,115.20000000000000,0.4321120944612980,No
ST. JOSEPH'S BEHAVIORAL HEALTH CENTER,2510 NORTH CALIFORNIA STREET,STOCKTON,CA,95204,PSYCHIATRIC,USA,37.9765963,-121.291070926,http://www.stjosephscanhelp.org,145,35,0.8297898034772520,1,63.65.88.199,99,59.4,1.6340675485207000,Yes
ST. JOSEPH'S MEDICAL CENTER OF STOCKTON,1800 NORTH CALIFORNIA STREET,STOCKTON,CA,95204,GENERAL ACUTE CARE,USA,37.970467188,-121.288182762,http://www.stjosephscares.org,99,364,0.5643029331886470,1,235.54.101.245,16,9.6,10.0,Yes
FOOTHILL PRESBYTERIAN HOSPITAL-JOHNSTON MEMORIAL,250 SOUTH GRAND AVENUE,GLENDORA,CA,91741,GENERAL ACUTE CARE,USA,34.132654576,-117.871259716,http://www.cvhp.org/our_facilities/foothill_presbyterian.aspx,51,105,0.843948077917983,1,60.216.42.83,163,97.8,1.201905538074500,Yes
GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER,1420 SOUTH CENTRAL AVENUE,GLENDALE,CA,91204,GENERAL ACUTE CARE,USA,34.128165628,-118.256643169,http://www.glendalememorial.com,92,334,0.7106506547578460,1,154.115.215.179,192,115.20000000000000,2.013034142965340,Yes
KAISER FOUNDATION LOS ANGELES MEDICAL CENTER,4867 SUNSET BOULEVARD,LOS ANGELES,CA,90027,GENERAL ACUTE CARE,USA,34.0985736490001,-118.294175331,http://www.kaiserpermanente.org,138,460,0.3512717194176640,0,103.3.250.57,193,115.8,2.542589782409220,Yes
KAISER PERMANENTE PANORAMA CITY,13652 CANTARA STREET,PANORAMA CITY,CA,91402,GENERAL ACUTE CARE,USA,34.2185641940001,-118.430219294,http://www.kaiserpermanente.org,139,218,0.2911323391021650,0,28.170.172.233,79,47.4,6.88905457062641,Yes
PROVIDENCE TARZANA MEDICAL CENTER,18321 CLARK STREET,TARZANA,CA,91356,GENERAL ACUTE CARE,USA,34.170393216,-118.531904059,http://california.providence.org/,132,249,0.8195184502733180,1,39.68.200.107,89,53.4,6.672920442154710,Yes
SHRINERS HOSPITAL FOR CHILDREN - L.A.,3160 GENEVA STREET,LOS ANGELES,CA,90020,GENERAL ACUTE CARE,USA,34.067204777,-118.286392079,http://www.shrinershospitalsforchildren.org/hospitals/locations/losa ngeles.aspx,97,60,0.4156456471465270,0,131.194.160.165,162,97.2,0.5158297330890900,No
GARDENS REGIONAL HOSPITAL AND MEDICAL CENTER,21530 SOUTH PIONEER BOULEVARD,HAWAIIAN GARDENS,CA,90716,GENERAL ACUTE CARE,USA,33.833640007,-118.079677951,http://www.tcrmc.org/,107,107,0.2278776653060830,1,11.200.55.39,71,42.600000000000000,3.7683504352892000,Yes
ADVENTIST HEALTH CLEARLAKE,15630 18TH AVE - HWY 53,CLEARLAKE,CA,95422,GENERAL ACUTE CARE,USA,38.935618855,-122.620144532,http://www.adventisthealth.org,115,32,0.264333327316871,0,17.156.47.200,140,84.0,0.3929376387151250,No
VALLEY CHILDREN'S HOSPITAL,9300 VALLEY CHILDREN'S PLACE,MADERA,CA,93638,CHILDREN,USA,36.8840478340001,-119.800242412,http://www.valleychildrens.org/pages/default.aspx,89,356,0.8267437179333320,0,203.43.220.71,73,43.8,8.671122948393490,Yes
EISENHOWER MEDICAL CENTER,39-000 BOB HOPE DRIVE,RANCHO MIRAGE,CA,92270,GENERAL ACUTE CARE,USA,33.7633520680001,-116.406241091,http://www.emc.org,45,489,0.5812076197664370,1,219.19.41.91,33,19.800000000000000,10.0,Yes
GOOD SAMARITAN HOSPITAL-SAN JOSE,2425 SAMARITAN DRIVE,SAN JOSE,CA,95124,GENERAL ACUTE CARE,USA,37.252078736,-121.946576875,http://www.goodsamsanjose.com,143,404,0.8972121393168400,1,158.89.216.88,124,74.4,6.167056179497710,Yes
KAISER FND HOSP - SANTA CLARA,700 LAWRENCE EXPRESSWAY,SANTA CLARA,CA,95051,GENERAL ACUTE CARE,USA,37.3354013750001,-121.998873047,http://www.kaiserpermanente.org,122,327,0.2289956031679910,1,48.45.11.40,168,100.8,2.577661539301310,Yes
LUCILE SALTER PACKARD CHILDREN'S HOSP. AT STANFORD,725 WELCH ROAD,PALO ALTO,CA,94304,GENERAL ACUTE CARE,USA,37.436004575,-122.175390036,http://www.lpch.org,99,302,0.33481280540423000,1,226.210.110.11,12,7.200000000000000,10.0,Yes
KAISER FND HOSP - REDWOOD CITY,1100 VETERANS BOULEVARD,REDWOOD CITY,CA,94063,GENERAL ACUTE CARE,USA,37.488847836,-122.223390131,http://www.kaiserpermanente.org,49,149,0.04510027108937680,0,95.196.124.20,150,90.0,0.4732291478903670,No
JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,2540 EAST STREET,CONCORD,CA,94520,GENERAL ACUTE CARE,USA,37.9830895790001,-122.033496796,http://www.johnmuirhealth.com,70,245,0.4898010547286840,1,186.43.143.227,110,66.0,2.7134496550043800,Yes
SUTTER DELTA MEDICAL CENTER,3901 LONE TREE WAY,ANTIOCH,CA,94509,GENERAL ACUTE CARE,USA,37.9822344500001,-121.802978505,http://www.sutterdelta.org,101,145,0.42624052046894100,0,92.97.5.54,108,64.8,1.9569712356955300,Yes
KAISER FND HOSP - SACRAMENTO,2025 MORSE AVENUE,SACRAMENTO,CA,95825,GENERAL ACUTE CARE,USA,38.601797751,-121.393144026,http://www.kaiserpermanente.org,83,287,0.48897546713492200,1,47.29.39.16,117,70.20000000000000,3.161371525095130,Yes
SIERRA NEVADA MEMORIAL HOSPITAL,155 GLASSON WAY,GRASS VALLEY,CA,95945,GENERAL ACUTE CARE,USA,39.228016294,-121.047499779,http://www.snmh.org,48,104,0.24855464879910400,0,213.144.169.187,116,69.6,0.6395369359730760,No
LA PALMA INTERCOMMUNITY HOSPITAL,7901 WALKER STREET,LA PALMA,CA,90623,GENERAL ACUTE CARE,USA,33.8475141810001,-118.038302332,http://www.lapalmaintercommunityhospital.com,117,141,0.9342242286638020,0,74.127.45.6,32,19.2,10.0,Yes
SADDLEBACK MEMORIAL MEDICAL CENTER - SAN CLEMENTE,654 CAMINO DE LOS MARES,SAN CLEMENTE,CA,92673,GENERAL ACUTE CARE,USA,33.457065243,-117.650183918,http://www.memorialcare.org,93,73,0.24085563090464100,1,205.139.192.112,74,44.4,2.342335533981660,Yes
FREMONT MEDICAL CENTER,970 PLUMAS STREET,YUBA CITY,CA,95991,GENERAL ACUTE CARE,USA,39.143106319,-121.618012022,http://www.frhg.org/,134,46,0.184221377511252,0,120.172.34.151,55,33.0,2.922230064329550,Yes
PIEDMONT MOUNTAINSIDE HOSPITAL,1266 EAST CHURCH STREET,JASPER,GA,30143,GENERAL ACUTE CARE,USA,34.4582486800001,-84.412912891,http://www.piedmontmountainsidehospital.org,118,52,0.4465702448800430,1,73.132.40.12,22,13.2,10.0,Yes
ST MARYS HEALTH CARE SYSTEM,1230 BAXTER STREET,ATHENS,GA,30606,GENERAL ACUTE CARE,USA,33.9472213170001,-83.4052524589999,http://www.stmarysathens.com,54,196,0.17056789264192700,1,149.12.204.85,100,60.0,2.0552839463209600,Yes
RIDGEVIEW INSTITUTE,3995 SOUTH COBB DRIVE SE,SMYRNA,GA,30080,PSYCHIATRIC,USA,33.8564432910001,-84.51105483,http://www.ridgeviewinstitute.com,140,216,0.389775736188259,0,9.120.22.44,175,105.0,1.5663164395227000,Yes
WESTERLY HOSPITAL,25 WELLS ST,WESTERLY,RI,2891,GENERAL ACUTE CARE,USA,41.3621890750001,-71.825303241,http://www.westerlyhospital.org/,136,125,0.7755778967276540,1,204.160.137.27,102,61.200000000000000,3.15721523739796,Yes
